ID,Name_x,RA,DEC,L,B,R_Sun,R_gc,X,Y,Z,v_r,v_r_e,v_LSR,sig_v,sig_v_e,c,r_c,r_h,mu_V,rho_0,lg_tc,lg_th,Name_y,FeH,Age,Age_err,Method,Figs,Range,HBtype,R_G,M_V,v_e0,log_sigma_0
NGC 5024,M 53,13:12:55.25,+18:10:05.4,332.96,79.76,17.9,18.4,2.8,-1.4,17.6,-62.9,0.3,-56.2,4.4,0.9,1.72,0.35,1.31,17.38,3.07,8.73,9.76,M53,-2.06,12.25,0.25,V,12,12.25–12.50,0.81,18.4,-8.71,25.8,3.866
NGC 5053,,13:16:27.09,+17:42:00.9,335.7,78.95,17.4,17.8,3.0,-1.4,17.1,44.0,0.4,50.9,1.4,0.2,0.74,2.08,2.61,22.03,0.54,9.81,9.87,XXXX,-2.3,12.25,0.38,A,12,12.25–12.50,0.52,17.8,-6.76,7.2,2.196
NGC 5272,M 3,13:42:11.62,+28:22:38.2,42.22,78.71,10.2,12.0,1.5,1.3,10.0,-147.6,0.2,-138.3,5.5,0.3,1.89,0.37,2.31,16.64,3.57,8.31,9.79,M3,-1.5,11.75,0.25,V,22,,0.08,12.0,-8.88,32.1,4.254
NGC 5286,,13:46:26.81,-51:22:27.3,311.61,10.57,11.7,8.9,7.6,-8.6,2.1,57.4,1.5,54.3,8.1,1.0,1.41,0.28,0.73,16.22,4.1,8.4,9.11,XXXX,-1.7,12.5,0.38,A,12-30,11.75–12.25,0.8,8.9,-8.74,42.7,4.628
NGC 5466,,14:05:27.29,+28:32:04.0,42.15,73.59,16.0,16.3,3.3,3.0,15.3,110.7,0.2,121.2,1.7,0.2,1.04,1.43,2.3,21.61,0.84,9.35,9.76,XXXX,-2.31,12.5,0.25,V,11-30,12.25–12.50,0.58,16.3,-6.98,8.6,2.453
NGC 5904,M 5,15:18:33.22,+02:04:51.7,3.86,46.8,7.5,6.2,5.1,0.3,5.5,53.2,0.4,64.3,5.5,0.4,1.73,0.44,1.77,16.09,3.88,8.28,9.41,M5,-1.33,11.5,0.25,V,8,11.50–11.75,0.31,6.2,-8.81,37.0,4.457
NGC 5927,,15:28:00.69,-50:40:22.9,326.6,4.86,7.7,4.6,6.4,-4.2,0.7,-107.5,0.9,-107.2,,,1.6,0.42,1.1,16.91,4.09,8.39,8.94,XXXX,-0.29,10.75,0.38,V,16,10.50–10.75,-1.0,4.6,-7.81,25.4,4.156
NGC 5986,,15:46:03.00,-37:47:11.1,337.02,13.27,10.4,4.8,9.3,-4.0,2.4,88.9,3.7,92.9,,,1.23,0.47,0.98,17.67,3.41,8.58,9.18,XXXX,-1.63,12.25,0.75,A,30,,0.97,4.8,-8.44,33.1,4.259
NGC 6121,M 4,16:23:35.22,-26:31:32.7,350.97,15.97,2.2,5.9,2.1,-0.3,0.6,70.7,0.2,78.6,4.0,0.2,1.65,1.16,4.33,17.95,3.64,7.9,8.93,M4,-1.18,11.5,0.38,V,13,11.25–11.50,-0.06,5.9,-7.19,20.8,4.07
NGC 6101,,16:25:48.12,-72:12:07.9,317.74,-15.82,15.4,11.2,11.0,-10.0,-4.2,361.4,1.7,357.0,,,0.8,0.97,1.05,20.29,1.65,9.21,9.22,XXXX,-1.98,12.25,0.5,H,30,,0.84,11.2,-6.94,11.8,2.98
